event_name,location,city,date,time,event_link
(Vilnius) Vagelis. Aikštelė,Arena Vilnius,Vilnius,2026-11-13,20:00,https://www.arenavilnius.lt/en/renginys/vilnius-vagelis-aikstele/
UTMA 20,Arena Vilnius,Vilnius,2026-10-24,19:00,https://www.arenavilnius.lt/en/renginys/utma-20/
Atranka į Pasaulio krepšinio čempionatą: Lietuva – Bosnija ir Hercegovina,Arena Vilnius,Vilnius,2026-08-31,18:30,https://www.arenavilnius.lt/en/renginys/atranka-i-pasaulio-krepsinio-cempionata-lietuva-bosnija-ir-hercegovina/
Placebo | 30th Anniversary tour,Arena Vilnius,Vilnius,2026-10-15,20:00,https://www.arenavilnius.lt/en/renginys/placebo-30th-anniversary-tour/
Lietuvos vyrų krepšinio rinktinės kontrolinės rungtynės: Lietuva – Mičigano universitetas,Arena Vilnius,Vilnius,2026-08-23,19:30,https://www.arenavilnius.lt/en/renginys/lietuvos-vyru-krepsinio-rinktines-kontrolines-rungtynes-lietuva-micigano-universitetas/
THOMAS ANDERS from Modern Talking,Arena Vilnius,Vilnius,2026-11-21,19:00,https://www.arenavilnius.lt/en/renginys/thomas-anders-from-modern-talking/
CHRIS NORMAN & BAND koncertas,Arena Vilnius,Vilnius,2026-12-04,20:00,https://www.arenavilnius.lt/en/renginys/chris-norman-band-koncertas/
"90’s DISCO SHOW / Wielkie Wileńskie Andrzejki: HADDAWAY, DR. ABAN, Jenny from ACE OF BASE, MASTERS, IMPERIUM",Arena Vilnius,Vilnius,2026-11-27,19:00,https://www.arenavilnius.lt/en/renginys/grand-disco-show-2026-haddaway-dr-alban-mr-president-masters/
