title,location,city,start_date,start_time,event_link,ticket_link,scraped_at
LVSO SEZONO PABAIGOS KONCERTAS: L. VILKONČIUS. ROKO OPERA ''EGLĖ'',LVSO koncertų salė,Vilnius,2026-05-15,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso-sezono-pabaigos-koncertas-l-vilkoncius-roko-opera-egle-489162/,https://store.bilietai.lt/public/?concert=489162&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Mažasis Princas,COMPENSA koncertų salė,Vilnius,2026-05-16,12:00,https://www.bilietai.lt/eng/tickets/koncertai/mazasis-princas-493610/,https://store.bilietai.lt/public/?concert=493610&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
The Phantom of the Opera,Twinsbet Arena,Vilnius,2026-05-19,19:00,https://www.bilietai.lt/eng/tickets/koncertai/the-phantom-of-the-opera-101987/,,2026-02-16T05:41:05Z
LVSO | ALEXANDER PALEY REČITALIS,LVSO koncertų salė,Vilnius,2026-05-29,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso--alexander-paley-recitalis-489165/,https://store.bilietai.lt/public/?concert=489165&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Tori Amos - In Times of Dragons,COMPENSA koncertų salė,Vilnius,2026-05-30,20:00,https://www.bilietai.lt/eng/tickets/koncertai/tori-amos-in-times-of-dragons-482052/,https://store.bilietai.lt/public/?concert=482052&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Lewis Capaldi,Vilniaus Vingio parkas,Vilnius,2026-05-31,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lewis-capaldi-491737/,https://store.bilietai.lt/public/?concert=491737&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
LVSO | J. BRAHMS. ''VOKIŠKASIS REQUIEM'',LVSO koncertų salė,Vilnius,2026-06-12,19:00,https://www.bilietai.lt/eng/tickets/koncertai/lvso--j-brahms-vokiskasis-requiem-489167/,https://store.bilietai.lt/public/?concert=489167&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Oxxxymiron Tour 2026 | ''Nationality: 'No'',Lietuvos parodų ir kongresų centras LITEXPO,Vilnius,2026-06-12,20:00,https://www.bilietai.lt/eng/tickets/koncertai/oxxxymiron-tour-2026--nationality-no-492364/,https://store.bilietai.lt/public/?concert=492364&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
JUODAS VILNIUS 2026,Kalnų parkas,Vilnius,2026-06-13,17:30,https://www.bilietai.lt/eng/tickets/koncertai/juodas-vilnius-2026-488567/,https://store.bilietai.lt/public/?concert=488567&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
Kings of Leon (USA),Unibet Arena,Tallinn,2026-06-14,18:00,https://www.bilietai.lt/eng/tickets/koncertai/rokas-ir-pop/kings-of-leon-usa-488059/,https://store.bilietai.lt/public/?concert=488059&design=bilietai&lang=eng&center=1745,2026-02-16T05:41:05Z
